Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,model.max_depth,model.n_estimators,acc_train,acc_validation,f1_test,f1_train,f1_validation,prec_val
2022-09-12 11:05:44,39.7s,21beda323e534a88a03c9fc2a172fa9c,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,50,0.9818181818181818,0.76,0.042553191489361694,0.9770992366412213,0.7345132743362831,0.6536048328666262
2022-09-12 11:21:08,41.8s,48e56ab01a2a4457ac903c28242a48b3,,LOCAL,train_mlgapfill.py,bezk,FINISHED,50,500,0.972972972972973,0.7782608695652173,0,0.9695121951219513,0.7343749999999999,0.6437861655252959
2022-09-12 11:17:39,35.5s,c834a200de83486c9768cc600bb103cb,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,250,0.9742857142857143,0.7770833333333333,0.06315789473684211,0.9710610932475885,0.7331670822942644,0.6479539800995026
2022-09-12 11:37:04,37.9s,3465b6567f4e4dada1f80f6da8248367,,LOCAL,train_mlgapfill.py,bezk,FINISHED,None,500,0.9725,0.7790697674418605,0,0.9688385269121813,0.7323943661971832,0.6457080895628592
2022-09-12 11:05:09,34.8s,d6974483185b4af7a4b4f21b911a70f3,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,50,0.9878048780487805,0.7666666666666667,0.02150537634408602,0.9846153846153847,0.7247191011235956,0.6784870426829269
2022-09-12 11:27:02,33.1s,411aaf63ae5f49ab9cb0eb2315cee8e7,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,50,0.9638888888888889,0.7808510638297872,0.17821782178217824,0.96,0.7238605898123324,0.6457068443634654
2022-09-12 11:30:54,38.3s,b692f79e0a11431ab749f9dce1c3f37e,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,100,0.9777777777777777,0.776595744680851,0,0.9710144927536231,0.7229551451187336,0.7071002409060103
2022-09-12 11:34:37,38.6s,f913f783b87c4113bd4120179f4c4e29,,LOCAL,train_mlgapfill.py,bezk,FINISHED,40,250,0.98,0.7395833333333334,0.042553191489361694,0.9787234042553192,0.7203579418344519,0.5912583623455526
2022-09-12 11:18:49,36.1s,91712f8c19c742769f51ccdd8111dc93,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,500,0.9771428571428571,0.7729166666666667,0.02150537634408602,0.9727891156462585,0.7197943444730078,0.6598360274990711
2022-09-12 11:27:35,31.8s,2d52abd106124179b2b921d32f42651f,,LOCAL,train_mlgapfill.py,bezk,FINISHED,None,100,0.9842105263157894,0.7622222222222222,0.02150537634408602,0.98,0.7176781002638523,0.6718643117465658
2022-09-12 11:10:10,37.1s,37fa301a7c2d4028861278a05d12be34,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,100,0.9815789473684211,0.7488888888888889,0,0.9810298102981031,0.7153652392947103,0.5847410094728053
2022-09-12 11:41:41,29.8s,eb12f30008ce4b0490911964e80678e3,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,500,0.9813953488372092,0.79,0.02150537634408602,0.9770114942528735,0.7142857142857142,0.729040727521635
2022-09-12 11:38:20,44.1s,b295f184415247878b18c2ff41d50c9c,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,500,0.9878787878787879,0.774,0,0.9846153846153847,0.7124681933842238,0.6857514792899408
2022-09-12 11:25:26,29.6s,f52b0b74cfc14020b8b313f089aba99e,,LOCAL,train_mlgapfill.py,bezk,FINISHED,40,50,0.9833333333333333,0.7585365853658537,0,0.9807162534435261,0.7113702623906706,0.6255641467063385
2022-09-12 11:26:31,31.3s,6f595c83a3744966b8743b68473e3cf1,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,50,0.9717948717948718,0.7545454545454545,0,0.966966966966967,0.7112299465240642,0.626317048314303
2022-09-12 11:19:25,33.0s,e22f6cc505b54501abf7c3cb6879da1d,,LOCAL,train_mlgapfill.py,bezk,FINISHED,20,500,0.99,0.7697674418604651,0,0.9880239520958084,0.7096774193548387,0.6561483666134829
2022-09-12 11:22:28,36.4s,c11f1eb425f143b2bd20f54d85f5af94,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,500,0.9837837837837838,0.7760869565217391,0,0.9817073170731707,0.708215297450425,0.6458248515393579
2022-09-12 11:13:07,31.7s,2a6d980522634da281aa10b2f9ae974e,,LOCAL,train_mlgapfill.py,bezk,FINISHED,100,100,0.9785714285714285,0.7609756097560976,0,0.9756097560975611,0.7065868263473054,0.6262553802008608
2022-09-12 11:17:04,35.2s,c2df58acfe1f4533b9b6eb3fb52f3bd4,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,250,0.9783783783783784,0.7630434782608696,0.02150537634408602,0.9759036144578314,0.706199460916442,0.6249822411313095
2022-09-12 11:07:40,36.9s,4b590a383318433688ac8ceca7e69744,,LOCAL,train_mlgapfill.py,bezk,FINISHED,75,50,0.975609756097561,0.7404761904761905,0,0.9744897959183674,0.7029972752043597,0.5779392550604033
2022-09-12 11:24:51,35.2s,ce127212ccc54288b6092feca20305f6,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,50,0.9789473684210527,0.7622222222222222,0.02150537634408602,0.9760479041916168,0.701949860724234,0.631618763220107
2022-09-12 11:32:47,36.5s,ce027caa90104710ba87a72caecc2f36,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,250,0.9871794871794872,0.75,0,0.9862258953168044,0.7010869565217391,0.5913497217068646
2022-09-12 11:20:32,36.1s,e60ded2e9c78432fbb747be03b644b5f,,LOCAL,train_mlgapfill.py,bezk,FINISHED,40,500,0.9722222222222222,0.7425531914893617,0,0.9683544303797469,0.6997518610421837,0.607039022824671
2022-09-12 11:39:04,35.9s,92f1b5f2a43243cca4e47923ffea3bcb,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,500,0.975609756097561,0.7761904761904762,0.02150537634408602,0.9702380952380953,0.6948051948051949,0.696464611389259
2022-09-12 11:32:10,37.2s,f8c86a64b7fb4729b5a46ce080e49bfb,,LOCAL,train_mlgapfill.py,bezk,FINISHED,None,250,0.9756756756756757,0.7695652173913043,0,0.9726443768996961,0.6936416184971098,0.6407521496809441
2022-09-12 11:10:47,38.4s,7685bad27a5b4269a561b2954a996d44,,LOCAL,train_mlgapfill.py,bezk,FINISHED,30,100,0.9702702702702702,0.75,0.02150537634408602,0.9646302250803859,0.6933333333333334,0.6350310559006211
2022-09-12 11:42:46,37.0s,5bfdb9e26ab745d1a86827f48097708e,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,50,0.9657894736842105,0.7711111111111111,0.1414141414141414,0.9595015576323987,0.6888217522658611,0.6667536224613506
2022-09-12 11:04:34,34.9s,2f6c8644160847ee91ee102bee439eae,,LOCAL,train_mlgapfill.py,bezk,FINISHED,10,50,0.968421052631579,0.7444444444444445,0,0.9631901840490797,0.6883468834688347,0.6118812463256909
